module,freq
M1,2
M2,27
M3,6
M4,7
M5,82
M6,109
M7,37
M8,38
M9,31
M10,4
M11,18
M12,25
M13,4
M14,30
M15,1
M16,7
M17,31
M18,3
M19,4
M20,25
M21,2
M22,15
