name1	name2	TFCs
AASDHPPT	COASY	15.1681497296883
AASDHPPT	FASN	41.2783897513086
AATF	GRWD1	10.8656764606587
AATF	NOP2	13.3394557527836
AATF	RRP12	13.783887207942
AATF	RRS1	7.65578209272498
ABCE1	IPO5	22.626890491931
ABCE1	NAA15	25.1284492041127
ABCF1	LARP4B	21.4592819105966
ABR	RHOB	18.7936615923965
ABR	RHOJ	18.6456521660333
ACACA	ACAT2	23.0307058534528
ACACA	ACSS2	30.8393514300486
ACACA	COPB1	15.5131250851728
ACACA	FASN	44.3653760203856
ACACA	MCAT	39.3127429023252
ACACA	PRKAG1	17.9706514969597
ACACA	PSMD2	31.807712846931
ACP1	ARHGAP35	7.71626948358391
ACP1	PITPNA	6.37144811315242
ACP1	TALDO1	5.85757230115829
ACTN2	ALDOA	18.4721170174193
ACTN2	CSK	15.5656962470378
ACTN2	VWF	20.8319818756574
ADAM10	GOLM1	0.43988652391196
ADD1	ADD2	54.5519153765528
ADD1	ADD3	127.14830752759
ADD1	CAPG	42.7605735160225
ADD1	CASP3	66.628063237289
ADD1	DMTN	54.477475526085
ADD1	MTPN	24.3745855841641
ADD2	CAPG	46.9537249026006
ADD2	DMTN	24.7255695839934
ADD2	MTPN	19.5940514455135
ADK	CAPG	10.3701230500532
ADK	UBE2I	38.2108670220523
ADPRHL2	PCID2	6.37144811315242
ADRBK1	GNA11	0.802350027390019
ADRBK1	GNAQ	0.972250267501995
ADRBK1	GNG11	2.08672669505352
ADRBK1	GNG2	3.05638668075109
ADSL	ATIC	60.503384228615
ADSL	GART	68.3079905808589
ADSL	PAICS	66.1164540503452
ADSL	PPAT	106.405991314462
ADSS	ATIC	0.645515420144463
ADSS	IMPDH2	1.07731585276016
AHCY	AHCYL1	108.494211724584
AHCY	C1orf50	23.137257223628
AHCY	SDSL	20.4970345789863
AHCY	XIAP	22.404700905234
AHCYL1	ANP32A	22.4913911466818
AHCYL1	ITPR1	27.1518818849971
AHCYL1	PPM1G	8.46100551809575
AHCYL1	SDSL	15.439583284834
AHCYL1	UBQLN4	13.6097891904979
AHSA1	CACYBP	6.98151178172483
AHSA1	FASN	21.8968246077735
AHSA1	HSP90AA1	21.7884775332454
AHSA1	HSP90AB1	15.6153140395209
AHSA1	HSPH1	7.69014293413408
AHSA1	PPID	20.359791345495
AHSA1	PTGES3	23.7177912514168
AHSA1	STIP1	0.5008960963636
AHSA1	TRAP1	30.0979560708637
AKAP13	RHOB	23.6306076628301
AKAP13	RHOJ	24.0548281483382
AKR1A1	GNPDA2	20.063495004523
AKR1B1	AKR1C3	37.1462816767938
AKR1B1	ENO1	13.9786653940669
AKR1B1	ENO2	21.4197048685944
AKR1B1	GALM	34.3284196354465
AKR1B1	GK	24.6116374005739
AKR1B1	GLA	25.3063586895855
AKR1B1	GLB1	34.6913008717407
AKR1B1	GPX4	19.7607152002133
AKR1B1	HK2	13.2068892861212
AKR1B1	HK3	15.820886984355
AKR1B1	SORD	31.4172279242516
AKR1B1	SPR	18.9303721645525
AKT1	APAF1	24.3694431340599
AKT1	CAV1	37.8683826176187
AKT1	CBFB	19.0292433124385
AKT1	DEPTOR	21.2925540925009
AKT1	EGLN1	19.7600027001084
AKT1	FYN	45.3820869761272
AKT1	GNAI1	28.9235018138866
AKT1	GNG11	27.9211368843349
AKT1	GNG2	25.7932188504455
AKT1	GSK3A	43.7176599279146
AKT1	GSK3B	58.734742479676
AKT1	HSP90AA1	39.302505514995
AKT1	HSP90AB1	33.991184489538
AKT1	IKBKB	40.5721798084843
AKT1	INPPL1	17.4745110942915
AKT1	ITGA2B	81.6941107049691
AKT1	ITGA6	27.4812668002417
AKT1	ITGB3	42.2632039220138
AKT1	ITGB4	22.8513457008433
AKT1	JAK1	29.408838892278
AKT1	LAMB1	25.0267094585276
AKT1	LAMC2	19.3417592189858
AKT1	MAP2K4	22.5118739597138
AKT1	MAPK14	39.6673709306723
AKT1	OGT	46.3998486349382
AKT1	PAK1	40.6487849146793
AKT1	PDK1	32.3448241638619
AKT1	PFKFB2	17.0571150379649
AKT1	PFKP	21.3115203121552
AKT1	PPP2R1B	23.749723051508
AKT1	PPP2R5D	16.4841322413803
AKT1	PPP2R5E	75.2407157796882
AKT1	PTGES3	39.3660905751207
AKT1	PTPN11	31.0954759930437
AKT1	RBP1	8.97076969266656
AKT1	RHEB	27.253421111388
AKT1	SFN	30.8850675903556
AKT1	SOD3	93.3935303137106
AKT1	SPR	19.9004836947261
AKT1	TEP1	26.2588949128322
AKT1	XIAP	34.758573311317
AKT1	YES1	27.1159438829042
AKT1	YWHAG	29.6018948552377
AKT1	YWHAQ	24.2090928455674
AKT1	YWHAZ	33.8527889403714
ALDH18A1	GLS2	49.4863238538379
ALDH18A1	GLUL	32.7214843186386
ALDH18A1	OAT	29.1843981356466
ALDOA	ALDOC	35.1751393901981
ALDOA	CAMP	3.6784455113783
ALDOA	CANT1	10.3227618150448
ALDOA	CDA	16.4610502827927
ALDOA	CNN2	13.8044978222222
ALDOA	CSTB	5.53062703329161
ALDOA	DAK	2.65591500419489
ALDOA	ENO1	26.5660654063805
ALDOA	FAM49B	1.83743659368372
ALDOA	FERMT3	16.990944988565
ALDOA	G6PD	23.9797125372896
ALDOA	GAPDH	20.9540842635035
ALDOA	GGH	19.1423051079287
ALDOA	GPI	30.9582406561826
ALDOA	GSDMD	12.4180011353103
ALDOA	IDH1	12.2887647525131
ALDOA	ISLR	17.6544453424176
ALDOA	LDHA	112.715148836072
ALDOA	LTA4H	10.8756801008442
ALDOA	LTF	9.02434139058427
ALDOA	LYZ	11.3577753004202
ALDOA	MAGED2	9.89655444729412
